Date : 2025-02-13 09:21:26
Directory : /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage
Total : 191 files,  5015 codes, 58 comments, 808 blanks, all 5881 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         62 |      2,140 |         34 |        293 |      2,467 |
| CSS            |         48 |      1,842 |          3 |        310 |      2,155 |
| TypeScript     |         80 |      1,030 |         21 |        203 |      1,254 |
| Markdown       |          1 |          3 |          0 |          2 |          5 |
+----------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                              |        191 |      5,015 |         58 |        808 |      5,881 |
| . (Files)                                                                                                                                                      |         10 |        369 |          9 |         71 |        449 |
| components                                                                                                                                                     |         53 |        773 |          2 |        162 |        937 |
| components/CenteredColumn                                                                                                                                      |          3 |         24 |          0 |          8 |         32 |
| components/Error                                                                                                                                               |          3 |         21 |          0 |          7 |         28 |
| components/PaddedBlock                                                                                                                                         |          3 |         28 |          0 |          8 |         36 |
| components/SanityContentRTF                                                                                                                                    |         21 |        358 |          1 |         65 |        424 |
| components/SanityContentRTF (Files)                                                                                                                            |          3 |         59 |          0 |          7 |         66 |
| components/SanityContentRTF/SanityContentItems                                                                                                                 |          3 |         49 |          1 |          9 |         59 |
| components/SanityContentRTF/SanityContentParagraph                                                                                                             |          3 |         20 |          0 |          7 |         27 |
| components/SanityContentRTF/SanityContentPreview                                                                                                               |          3 |        123 |          0 |         19 |        142 |
| components/SanityContentRTF/SanityContentTitle                                                                                                                 |          3 |         19 |          0 |          7 |         26 |
| components/SanityContentRTF/SanityContentVerticalSpace                                                                                                         |          3 |         34 |          0 |         10 |         44 |
| components/SanityContentRTF/SanityContentWidget                                                                                                                |          3 |         54 |          0 |          6 |         60 |
| components/Text                                                                                                                                                |          3 |         26 |          0 |          8 |         34 |
| components/Title                                                                                                                                               |          3 |         58 |          0 |         12 |         70 |
| components/VerticalRuler                                                                                                                                       |          3 |         43 |          0 |          8 |         51 |
| components/VerticalSpace                                                                                                                                       |          3 |         13 |          0 |          7 |         20 |
| components/Video                                                                                                                                               |          3 |         26 |          0 |          8 |         34 |
| components/buttons                                                                                                                                             |          8 |        176 |          1 |         31 |        208 |
| components/buttons/Button                                                                                                                                      |          3 |        115 |          1 |         16 |        132 |
| components/buttons/EmailButton                                                                                                                                 |          3 |         43 |          0 |          9 |         52 |
| components/buttons/LoginButton                                                                                                                                 |          2 |         18 |          0 |          6 |         24 |
| content                                                                                                                                                        |         18 |        614 |         13 |         89 |        716 |
| icons                                                                                                                                                          |          9 |        107 |          0 |          9 |        116 |
| layout                                                                                                                                                         |         25 |        945 |         15 |        135 |      1,095 |
| layout/FooterPanel                                                                                                                                             |         10 |        402 |          6 |         49 |        457 |
| layout/FooterPanel (Files)                                                                                                                                     |          3 |        177 |          5 |         27 |        209 |
| layout/FooterPanel/NewsLetterSubscription                                                                                                                      |          4 |        123 |          1 |         19 |        143 |
| layout/FooterPanel/icons                                                                                                                                       |          3 |        102 |          0 |          3 |        105 |
| layout/Hero                                                                                                                                                    |          6 |        206 |          4 |         31 |        241 |
| layout/Hero (Files)                                                                                                                                            |          3 |        145 |          1 |         20 |        166 |
| layout/Hero/NextPanel                                                                                                                                          |          3 |         61 |          3 |         11 |         75 |
| layout/Menu                                                                                                                                                    |          9 |        337 |          5 |         55 |        397 |
| layout/Menu (Files)                                                                                                                                            |          3 |        152 |          0 |         26 |        178 |
| layout/Menu/HeaderLoginButton                                                                                                                                  |          3 |         70 |          5 |         14 |         89 |
| layout/Menu/PopupMenu                                                                                                                                          |          3 |        115 |          0 |         15 |        130 |
| sections                                                                                                                                                       |         18 |        418 |          2 |         61 |        481 |
| sections (Files)                                                                                                                                               |          1 |         14 |          0 |          3 |         17 |
| sections/SectionContact                                                                                                                                        |          9 |        144 |          2 |         29 |        175 |
| sections/SectionContact (Files)                                                                                                                                |          3 |         37 |          2 |          8 |         47 |
| sections/SectionContact/Cards                                                                                                                                  |          6 |        107 |          0 |         21 |        128 |
| sections/SectionContact/Cards (Files)                                                                                                                          |          3 |         44 |          0 |          8 |         52 |
| sections/SectionContact/Cards/Card                                                                                                                             |          3 |         63 |          0 |         13 |         76 |
| sections/SectionGeneric                                                                                                                                        |          2 |         13 |          0 |          6 |         19 |
| sections/SectionInstitute                                                                                                                                      |          6 |        247 |          0 |         23 |        270 |
| sections/SectionInstitute (Files)                                                                                                                              |          3 |         57 |          0 |          7 |         64 |
| sections/SectionInstitute/Milestones                                                                                                                           |          3 |        190 |          0 |         16 |        206 |
| widgets                                                                                                                                                        |         58 |      1,789 |         17 |        281 |      2,087 |
| widgets (Files)                                                                                                                                                |          1 |          6 |          0 |          1 |          7 |
| widgets/CompanyMembers                                                                                                                                         |          8 |        200 |          2 |         33 |        235 |
| widgets/CompanyMembers (Files)                                                                                                                                 |          5 |        110 |          1 |         17 |        128 |
| widgets/CompanyMembers/TeamMember                                                                                                                              |          3 |         90 |          1 |         16 |        107 |
| widgets/ContributorsPanel                                                                                                                                      |         10 |        401 |          1 |         59 |        461 |
| widgets/ContributorsPanel (Files)                                                                                                                              |          4 |         39 |          0 |         11 |         50 |
| widgets/ContributorsPanel/ContributorsList                                                                                                                     |          3 |        124 |          0 |         17 |        141 |
| widgets/ContributorsPanel/ContributorsNavigation                                                                                                               |          3 |        238 |          1 |         31 |        270 |
| widgets/Email                                                                                                                                                  |          3 |         21 |          0 |          8 |         29 |
| widgets/FromCellToBrain                                                                                                                                        |          5 |        146 |          0 |         22 |        168 |
| widgets/Hero                                                                                                                                                   |          4 |        126 |          0 |         19 |        145 |
| widgets/MissionStatement                                                                                                                                       |          4 |        142 |          1 |         20 |        163 |
| widgets/News                                                                                                                                                   |          6 |        238 |          2 |         35 |        275 |
| widgets/News (Files)                                                                                                                                           |          3 |        139 |          2 |         18 |        159 |
| widgets/News/NewsCard                                                                                                                                          |          3 |         99 |          0 |         17 |        116 |
| widgets/OurFoundations                                                                                                                                         |          6 |        208 |          6 |         35 |        249 |
| widgets/OurFoundations (Files)                                                                                                                                 |          3 |        166 |          1 |         26 |        193 |
| widgets/OurFoundations/ToolButton                                                                                                                              |          3 |         42 |          5 |          9 |         56 |
| widgets/PortalsPanel                                                                                                                                           |          5 |        163 |          0 |         28 |        191 |
| widgets/PortalsPanel (Files)                                                                                                                                   |          3 |         38 |          0 |          8 |         46 |
| widgets/PortalsPanel/card                                                                                                                                      |          2 |        125 |          0 |         20 |        145 |
| widgets/VirtualLabsPanel                                                                                                                                       |          6 |        138 |          5 |         21 |        164 |
| widgets/VirtualLabsPanel (Files)                                                                                                                               |          3 |         39 |          2 |          8 |         49 |
| widgets/VirtualLabsPanel/card                                                                                                                                  |          3 |         99 |          3 |         13 |        115 |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                       | language       | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/LandingPage.module.css                                                                       | CSS            |        111 |          2 |         18 |        131 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/LandingPage.tsx                                                                              | TypeScript JSX |         85 |          0 |         10 |         95 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/Matomo.tsx                                                                                   | TypeScript JSX |         17 |          0 |          1 |         18 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/README.md                                                                                    | Markdown       |          3 |          0 |          2 |          5 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/CenteredColumn/CenteredColumn.module.css                                          | CSS            |          8 |          0 |          2 |         10 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/CenteredColumn/CenteredColumn.tsx                                                 | TypeScript JSX |         15 |          0 |          5 |         20 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/CenteredColumn/index.ts                                                           | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Error/Error.module.css                                                            | CSS            |          9 |          0 |          1 |         10 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Error/Error.tsx                                                                   | TypeScript JSX |         11 |          0 |          5 |         16 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/Error/index.ts                                                                    | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/PaddedBlock/PaddedBlock.module.css                                                | CSS            |         17 |          0 |          3 |         20 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/PaddedBlock/PaddedBlock.tsx                                                       | TypeScript JSX |         10 |          0 |          4 |         14 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/PaddedBlock/index.ts                                                              | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentItems/SanityContentItems.module.css                 | CSS            |         16 |          0 |          3 |         19 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentItems/SanityContentItems.tsx                        | TypeScript JSX |         32 |          1 |          5 |         38 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentItems/index.ts                                      | TypeScript     |          1 |          0 |          1 |          2 |
| /Users/tolokoban/Code/OBI/core-web-app/src/components/LandingPage/components/SanityContentRTF/SanityContentParagraph/SanityContentParagraph.module.css         | CSS            |          3 |          0 |          1 |          4 |
