full_name,ORCID,google_scholar,bbp-member
"Romy Aardse",-,-,false
"M. Abdelaziz",-,-,false
"Marwan Abdellah",0000-0003-0751-2300,BWoDazUAAAAJ,true
"Sergio Rivas-Gomez",-,-,true
"Shabbir S. Abdul",-,JoU7uogAAAAJ,false
"Adnan Abid",-,-,false
"Stanislaw R. Adaszewski",-,hPrH4roAAAAJ,false
"Ad Aertsen",-,gLEsMrYAAAAJ,false
"Jens Agerberg",0000-0002-1513-5069,-,false
"Carlos Aguado Sanchez",-,-,true
"Paulo Aguiar",0000-0003-4164-5713,-,false
"Marco Agus",0000-0003-2752-3525,jNN3FacAAAAJ,false
"A. Ailamaki",-,YdrkeNwAAAAJ,false
"James B. Aimone",-,fIhoSlAAAAAJ,false
"Ugo Albanese",-,-,false
"Sarael Alcauter",0000-0001-8182-6370,fAzVWFQAAAAJ,false
"Yasser Aleman-Gomez",-,ij8pBrQAAAAJ,false
"Jérémy Alexandre",-,-,false
"Igor Allaman",0000-0002-7525-0536,-,false
"Lara Almeida",-,-,false
"Lidia Alonso-Nanclares",0000-0003-2649-7097,OCwOAuYAAAAJ,false
"A. Ambrosano",-,zQ4r7e4AAAAJ,false
"Oren Amsalem",0000-0002-8070-0378,6uSmt8YAAAAJ,false
"Katrin Amunts",-,cZ5iKNMAAAAJ,false
"Sophia Ananiadou",0000-0002-4097-9191,quhi-K0AAAAJ,false
"Costas A. Anastassiou",0000-0002-6793-0611,-,false
"Stewart A. Anderson",-,fjkztRQAAAAJ,true
"Ole A. Andreassen",-,dilW0WsAAAAJ,false
"Andreas Andreou",-,-,false
"Dora Angelaki",-,u5KcrAwAAAAJ,false
"Emmanouil Angelidis",-,citb8g0AAAAJ,false
"Nicolas Antille",-,-,true
"Alejandro Antón-Fernández",-,A4AajP4AAAAJ,false
"Stefano Maximiliano Antonel",0009-0008-1042-2086,-,true
"Alberto Antonietti",-,sNTLLMkAAAAJ,true
"H. Anwar",-,-,false
"Shailesh Appukuttan",0000-0002-0148-8023,-,false
"Cecilia N. Arighi",0000-0002-0803-4817,-,false
"Anton Arkhipov",0000-0003-1106-8310,apMaQzQAAAAJ,false
"Alexis Arnaudon",-,A8HW0pAAAAAJ,true
"Jonathan Arreguit",-,4TqgWQYAAAAJ,false
"Selim Arsever",-,-,true
"Kalaimakan Arulkandarajah",-,HonR-X8AAAAJ,true
"Senthil Arumugam",0000-0001-6733-4679,-,false
"Giorgio A. Ascoli",-,Qq5H3-QAAAAJ,false
"Guy Atenekeng",-,-,false
"Omar Awile",-,pjb23CUAAAAJ,true
"Johannes C Baayen",-,-,false
"Norbert Babai",-,Ge_rIXcAAAAJ,false
"Rembrandt Bakker",-,-,false
"Yalbi I. Balderas-Martínez",-,2hvieWAAAAAJ,false
"Yoav Banitt",-,-,false
"Mauricio Barahona",-,weulBoAAAAAJ,false
"Omri Barak",-,6BrZ2isAAAAJ,false
"Cori Bargmann",-,Wd7XWVYAAAAJ,false
"Bernabe Linares-Barranco",-,yjeEP_EAAAAJ,false
"German Barrionuevo",-,_qGOTkwAAAAJ,false
"Fernando A. Barrios",-,iOiINvQAAAAJ,false
"Natali Barros Zulaica",0000-0002-1358-2236,gBLZCcoAAAAJ,false
"Chiara Bartolozzi",-,l7afPpIAAAAJ,false
"Julian Bartram",-,WVCGA_cAAAAJ,false
"Erhan Bas",-,HmnRFhgAAAAJ,false
"Patricia Bassereau",-,Zxqe6o4AAAAJ,false
"Riza Batista-Navarro",0000-0001-6693-7531,fRBJmp9gk_cC,false
"Stéphani Battini",-,UKfnGmIAAAAJ,true
"Dieter A. Baumgartner",-,-,false
"Jonathan R. Beaumont",-,-,false
"A. Beche",-,-,true
"Ulrike Becken",-,-,false
"James A. Bednar",-,h0e2kMQAAAAJ,false
"C. Bekas",-,-,false
"Davide Bella",-,-,true
"Pierre Bellec",0000-0002-9111-0699,-,false
"Paloma Gonzalez-Bellido",-,OpaFwzoAAAAJ,false
"R. Bellofatto",-,-,false
"Ruth Benavides-Piccione",-,u7gxzWEAAAAJ,false
"Adrien Berchet",-,KPR3ks8AAAAJ,true
"Jim Berg",-,-,false
"Thomas K. Berger",-,-,false
"Samuel F. Berkovic",-,kq6STsoAAAAJ,false
"J. Bernard",-,-,true
"Yann Bernardinelli",-,xH4XnWUAAAAJ,false
"Simon Berneche",-,-,false
"Nathan R. Bernier",-,-,false
"Marine Bertschy",-,-,true
"Harish Bhaskaran",-,jwZZEfMAAAAJ,false
"J. Biddiscombe",-,wgQF8g8AAAAJ,false
"Concha Bielza",0000-0001-7109-2668,zwSj1n8AAAAJ,false
"Ahmet Bilgili",-,PQNe3w0AAAAJ,true
"Yazan N. Billeh",-,-,false
"Francesca Binda",-,-,false
"Justas Birgiolas",-,y9mJbiYAAAAJ,false
"Laurynas Biveinis",-,A2wnCEQAAAAJ,false
"Jan G. Bjaalie",-,TkaQ2w8AAAAJ,false
"Kim T Blackwell",-,QsYQTBIAAAAJ,false
"Jorge Blanco Alonso",0009-0000-4872-3855,-,false
"Camilla H. Blixhavn",-,cLgpM-oAAAAJ,false
"Jocelyne Bloch",0000-0002-6405-1590,EAGtm20AAAAJ,false
"Inga Blundell",-,yTJqVb4AAAAJ,false
"Daniele Boccalini",-,-,false
"Elvis Boci",0009-0002-5871-4164,-,true
"Daniya Boges",0009-0008-2629-7451,07_ys3IAAAAJ,false
"B. Bohara",-,-,false
"Luca Leonardo Bologna",0000-0002-7280-9285,JbA9MtoAAAAJ,false
"Sebastian Bonhoeffer",0000-0001-8052-3925,L_JGehAAAAAJ,false
"Kristofer E. Bouchard",-,mDvGOLkAAAAJ,false
"Graeme M. Bragg",-,858QgrkAAAAJ,false
"Johanni Brea",-,nZ0m0xUAAAAJ,false
"Romain Brette",0000-0003-0110-1623,lEHiPU4AAAAJ,false
"Alessandro Bria",-,zgA4VsQAAAAJ,false
"Marc Briquet",-,-,false
"Andrew D. Brown",-,-,false
"Yury Brukau",-,-,true
"Alexander Bryson",0000-0002-0033-8197,-,false
"Alessio Paolo Buccino",-,UmLW1NAAAAAJ,false
"Valérie Buchillier",-,-,true
"Anatoly Buchin",-,w8hTOSsAAAAJ,false
"Julian Budd",0000-0001-8614-9989,-,true
"Nenad Buncic",-,-,true
"Andreas Burkhalter",-,gNQwGFgAAAAJ,false
"Yves Burnod",-,-,false
"Randal Burns",-,-,false
"Olivier Burri",-,-,false
"György Buzsáki",-,DVl9E8YAAAAJ,false
"Weidong Cai",-,-,false
"Matteo Caleo",-,jLCgWXIAAAAJ,false
"Corrado Calì",0000-0003-4856-0835,PRkBpAwAAAAJ,false
"David Campos",-,-,false
"Andrea Camposeo",-,a8w-Ff4AAAAJ,false
"C. Cannia",-,-,false
"Christopher J. Cannistraci",-,Npy-GCQAAAAJ,false
"Robert Cannon",-,-,false
"Matteo Cantarelli",-,HqmRfWkAAAAJ,false
"Nicola Cantarutti",0000-0002-0441-7159,-,true
"Elisa Capuana",-,8BsFsXUAAAAJ,false
"Tristan Carel",0000-0003-0941-9986,-,true
"Alan Carleton",-,-,false
"Nicholas T. Carnevale",-,-,false
"Francesco Casalegno",-,-,true
"Antonino Cassara",-,dmraubIAAAAJ,false
"Giacomo Castiglioni",-,qAqsm6EAAAAJ,true
"Alessandro Cattabiani",-,qwMY7tAAAAAJ,true
"Bruno Cauli",0000-0003-1471-4621,vMb5S-UAAAAJ,false
"N. Cauli",-,YgbNdbUAAAAJ,false
"N. Alex Cayco-Gajic",-,-,false
"Barbara Chabriw",-,-,false
"Wojciech Chachólski",-,-,false
"Athanassia Chalimourda",-,-,true
"Frances Chance",-,DluuU7UAAAAJ,false
"Florian Chapotot",-,nTu0AQgAAAAJ,false
"Jean-Cédric Chappelier",-,-,false
"Thomas Chartrand",-,INIFj2kAAAAJ,false
"Andrew Chatr-Aryamontri",-,-,false
"Jean‐Yves Chatton",-,-,false
"Hanbo Chen",-,-,false
"Weiliang Chen",-,-,false
"Li Cheng",-,-,false
"Grigori Chevtchenko",-,-,true
"Ann-Shyn Chiang",-,-,false
"Lucy Chilton",-,sGj-oQkAAAAJ,false
"Giuseppe Chindemi",0000-0001-6872-2366,2Bg_RB0AAAAJ,true
"Hui-Jou Chou",-,-,false
"Dennis V Christensen",-,4Pl5CDAAAAAJ,false
"Martin Ejsing Christensen",-,-,false
"Miyoung Chun",-,BO_fMrEAAAAJ,false
"George Church",-,-,false
"Laura Cif",-,LJSVS6gAAAAJ,false
"Oscar Cipolato",-,GrVRdrcAAAAJ,false
"Francisco Clascá",-,-,false
"Thomas A Cleland",-,oNAtoyEAAAAJ,false
"Estelle E. Clerc",0009-0003-6046-2856,-,false
"Hollis Cline",-,Prfdr10AAAAJ,false
"Thomas G. Close",-,fBka2hcAAAAJ,false
"Daniel Coca",-,l5c4xxgAAAAJ,false
"Jay S. Coggan",0000-0002-2270-1989,-,true
"Julien Cohen-Adad",-,6cAZ028AAAAJ,false
"Cristina Colangelo",-,lHdggD8AAAAJ,true
"Todd Coleman",-,-,false
"Núria Tort-Colet",0000-0002-9708-9755,bmZjZY4AAAAJ,false
"Eloise Colnot",-,a2VxuHMAAAAJ,true
"Gloria Colombo",-,IAOSVeoAAAAJ,false
"Eduardo Conde-Sousa",-,xi0xi2AAAAAJ,false
"David O’Connor",-,-,false
"Emilia Conti",-,ckgjk1UAAAAJ,false
"Valerio Conti",0000-0002-8326-6378,7cRwCIwAAAAJ,false
"Gabriela Contreras",-,-,false
"Laurel Cooper",-,-,false
"Nicolas Cornu",-,935nYOgAAAAJ,true
"Irene Costantini",-,fq-UlpQAAAAJ,false
"Benoit Coste",-,w6W9oe0AAAAJ,true
"Sil Coulter",-,-,false
"Jean-Denis Courcol",0000-0002-9351-1461,-,true
"Gregoire Courtine",-,Jvd6Y1UAAAAJ,false
"Daniel N. Cox",-,o162W3gAAAAJ,false
"R. Cameron Craddock",0000-0002-4950-1303,-,false
"Francesco Cremonesi",0000-0003-1027-485X,dHm1KE1zGioC,false
"Joel Criado",-,-,false
"Sharon M Crook",-,-,false
"Meritxell Bach Cuadra",-,UoZ4neoAAAAJ,false
"Ryan John A. Cubero",-,-,false
"Ralph Etienne Cummings",-,AA16968AAAAJ,false
"Hermann Cuntz",-,9g7Uj-MAAAAJ,false
"Alessandro Curioni",-,EidvBK8AAAAJ,false
"Justin Curry",-,-,false
"Egidio D'Angelo",-,ZAFulUQAAAAJ,false
"Snigdha Dagar",-,tgLluUkAAAAJ,true
"R. Daher",-,-,false
"Hong-Jie Dai",-,qsKMOtwAAAAJ,false
"Kael Dai",0000-0002-2147-5895,-,false
"Tanguy Damart",-,UAiver8AAAAJ,true
"Chinh Dang",-,-,false
"Michael Daniels",0000-0002-0456-1214,-,false
